id,Name,N,E,Z,B,L,H,AntH,σN,σE,σZ,Ave Times,Status,StartLocal time,EndLocal time,StartUTC,EndUTC,Desc,Latency,Sats,Shared Sats,PDOP,Elevation(°),VRS Name,Base B,Base L,Base H,Station,Tilt Angel,Tilt Azi
1,pt1,683722.7123,383243.8590,159.9827," 47:38:32.16490"," 23:26:39.90658",199.4561,2.0449,0.0070,0.0060,0.0190,1,RTK Fix,2021-04-27 17:09:26.0,2021-04-27 17:09:26.0,2021-04-27 15:09:26.0,2021-04-27 15:09:26.0,dg,1.0,34,14,1.7000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
2,pt2,683725.6204,383247.0531,160.1057," 47:38:32.26109"," 23:26:40.05682",199.5791,2.0449,0.0070,0.0060,0.0190,1,RTK Fix,2021-04-27 17:10:25.0,2021-04-27 17:10:25.0,2021-04-27 15:10:25.0,2021-04-27 15:10:25.0,g,2.0,36,15,1.6000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
3,pt3,683739.2024,383262.6993,160.1818," 47:38:32.71079"," 23:26:40.79338",199.6551,2.0449,0.0070,0.0060,0.0230,1,RTK Fix,2021-04-27 17:10:54.0,2021-04-27 17:10:54.0,2021-04-27 15:10:54.0,2021-04-27 15:10:54.0,g,2.0,35,10,3.4000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
4,pt4,683740.1988,383262.9894,160.1008," 47:38:32.74323"," 23:26:40.80634",199.5741,2.0449,0.0070,0.0060,0.0200,1,RTK Fix,2021-04-27 17:11:16.0,2021-04-27 17:11:16.0,2021-04-27 15:11:16.0,2021-04-27 15:11:16.0,,2.0,34,15,1.6000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
5,pt5,683752.8124,383251.6698,160.0572," 47:38:33.14428"," 23:26:40.25217",199.5301,2.0449,0.0080,0.0070,0.0230,1,RTK Fix,2021-04-27 17:11:40.0,2021-04-27 17:11:40.0,2021-04-27 15:11:40.0,2021-04-27 15:11:40.0,g,2.0,31,14,1.7000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
6,pt6,683760.9308,383242.7198,160.0755," 47:38:33.40135"," 23:26:39.81576",199.5481,2.0449,0.0070,0.0060,0.0190,1,RTK Fix,2021-04-27 17:12:04.0,2021-04-27 17:12:04.0,2021-04-27 15:12:04.0,2021-04-27 15:12:04.0,g,2.0,31,15,1.6000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
7,pt7,683744.3493,383228.6577,160.1174," 47:38:32.85556"," 23:26:39.15791",199.5901,2.0449,0.0090,0.0080,0.0270,1,RTK Fix,2021-04-27 17:12:54.0,2021-04-27 17:12:54.0,2021-04-27 15:12:54.0,2021-04-27 15:12:54.0,,3.0,31,14,1.7000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
8,pt8,683740.9753,383225.2121,160.1684," 47:38:32.74413"," 23:26:38.99607",199.6411,2.0449,0.0080,0.0070,0.0240,1,RTK Fix,2021-04-27 17:13:10.0,2021-04-27 17:13:10.0,2021-04-27 15:13:10.0,2021-04-27 15:13:10.0,dg,2.0,31,14,1.7000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
9,pt9,683713.6015,383253.0403,159.9344," 47:38:31.87586"," 23:26:40.35500",199.4081,2.0449,0.0090,0.0080,0.0260,1,RTK Fix,2021-04-27 17:13:56.0,2021-04-27 17:13:56.0,2021-04-27 15:13:56.0,2021-04-27 15:13:56.0,d,1.0,32,14,1.7000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
10,pt10,683715.4515,383255.5973,159.9664," 47:38:31.93738"," 23:26:40.47572",199.4401,2.0449,0.0080,0.0070,0.0240,1,RTK Fix,2021-04-27 17:14:09.0,2021-04-27 17:14:09.0,2021-04-27 15:14:09.0,2021-04-27 15:14:09.0,d,1.0,32,15,1.6000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
11,pt11,683715.4157,383255.5778,160.0324," 47:38:31.93621"," 23:26:40.47482",199.5061,2.0449,0.0080,0.0070,0.0230,1,RTK Fix,2021-04-27 17:14:20.0,2021-04-27 17:14:20.0,2021-04-27 15:14:20.0,2021-04-27 15:14:20.0,t,1.0,32,15,1.6000,5,BAIA3.1," 47:38:26.76198"," 23:34:34.47108",285.5403,0.0000," 00:00:00",
