ID,Name,N,E,Z,B,L,H,AntH,¦ÒN,¦ÒE,¦ÒZ,Ave Times,Status,StartLocal time,EndLocal time,StartUTC,EndUTC,Desc,Diff Age,Sats,Shared Sats,PDOP,Elevation(¡ã),Base B,Base L,Base H,Station,Tilt,Tilt Azi
1,pt1,670440.4986,357057.4617,246.7486," 47:31:03.58649"," 23:06:01.10646",286.4871,2.1119,0.6760,0.5960,1.1500,1,Single,2017-06-21 09:45:30,2017-06-21 09:45:30,2017-06-21 07:45:30,2017-06-21 07:45:30,,0.0,26,0,1.0000,0," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000," 00:00:00",
2,pt2,670397.5713,357057.4722,247.1256," 47:31:02.19705"," 23:06:01.15655",286.8651,2.1119,0.0200,0.0140,0.0370,1,RTK Int,2017-06-21 09:50:24,2017-06-21 09:50:24,2017-06-21 07:50:24,2017-06-21 07:50:24,,1.0,26,10,1.4000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
3,pt3,670135.5776,356106.9667,239.1481," 47:30:52.97086"," 23:05:16.04568",278.9071,2.1119,0.0160,0.0150,0.0270,1,RTK Int,2017-06-21 10:32:21,2017-06-21 10:32:21,2017-06-21 08:32:21,2017-06-21 08:32:21,,1.0,26,9,1.6000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
4,pt4,683760.8135,383242.5461,160.0245," 47:38:33.39744"," 23:26:39.80755",199.4971,2.1119,0.0270,0.0120,0.0430,1,RTK Int,2017-06-24 15:45:01,2017-06-24 15:45:01,2017-06-24 13:45:01,2017-06-24 13:45:01,,1.0,20,8,1.7000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
5,pt5,683755.6611,383228.5884,158.6316," 47:38:33.22170"," 23:26:39.14386",198.1041,2.1119,0.0200,0.0100,0.0310,1,RTK Int,2017-06-24 15:45:15,2017-06-24 15:45:15,2017-06-24 13:45:15,2017-06-24 13:45:15,,1.0,22,9,2.2000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
6,pt6,683739.3961,383262.7425,160.1388," 47:38:32.71708"," 23:26:40.79527",199.6121,2.1119,0.0160,0.0100,0.0270,1,RTK Int,2017-06-24 15:47:56,2017-06-24 15:47:56,2017-06-24 13:47:56,2017-06-24 13:47:56,,1.0,27,8,1.7000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
7,pt7,683731.7733,383270.3223,159.7095," 47:38:32.47518"," 23:26:41.16557",199.1831,2.1119,0.0870,0.0260,0.1290,1,RTK Int,2017-06-24 15:48:15,2017-06-24 15:48:15,2017-06-24 13:48:15,2017-06-24 13:48:15,,1.0,28,8,32.3000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
8,pt8,683719.1478,383279.6838,161.4711," 47:38:32.07248"," 23:26:41.62596",200.9451,2.1119,0.0740,0.0220,0.1100,1,RTK Int,2017-06-24 15:48:37,2017-06-24 15:48:37,2017-06-24 13:48:37,2017-06-24 13:48:37,,1.0,26,6,27.7000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
9,pt9,683707.4594,383286.3982,160.0828," 47:38:31.69842"," 23:26:41.95866",199.5571,2.1119,0.0290,0.0130,0.0420,1,RTK Int,2017-06-24 15:48:56,2017-06-24 15:48:56,2017-06-24 13:48:56,2017-06-24 13:48:56,,1.0,27,8,2.2000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
10,pt10,683697.5393,383294.1001,159.7115," 47:38:31.38223"," 23:26:42.33698",199.1861,2.1119,0.0470,0.0170,0.0690,1,RTK Int,2017-06-24 15:49:19,2017-06-24 15:49:19,2017-06-24 13:49:19,2017-06-24 13:49:19,,1.0,27,7,1.9000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
11,pt11,683677.7354,383292.4358,159.1141," 47:38:30.74009"," 23:26:42.27603",198.5891,2.1119,0.0170,0.0100,0.0260,1,RTK Int,2017-06-24 15:50:08,2017-06-24 15:50:08,2017-06-24 13:50:08,2017-06-24 13:50:08,,1.0,24,8,1.6000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
12,pt12,683675.4785,383289.9202,159.1591," 47:38:30.66541"," 23:26:42.15768",198.6341,2.1119,0.0170,0.0100,0.0270,1,RTK Int,2017-06-24 15:50:13,2017-06-24 15:50:13,2017-06-24 13:50:13,2017-06-24 13:50:13,,1.0,24,7,2.5000,0," 47:39:06.42446"," 23:33:27.75920",271.0260,0.0000," 00:00:00",
