id,Name,N,E,Z,B,L,H,AntH,σN,σE,σZ,Ave Times,Status,StartLocal time,EndLocal time,StartUTC,EndUTC,Desc,Latency,Sats,Shared Sats,PDOP,Elevation(°),VRS Name,Base B,Base L,Base H(Phase Center),Station,Tilt Angel,Tilt Azi
1,1,683717.5453,388226.5490,188.9901," 47:38:35.12536"," 23:30:38.58426",228.5221,2.0449,0.0090,0.0050,0.0140,1,RTK Fix,2022-10-05 16:33:02.0,2022-10-05 16:33:02.0,2022-10-05 14:33:02.0,2022-10-05 14:33:02.0,ca,1.0,26,9,2.3087,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
2,2,683717.9734,388224.0804,188.9471," 47:38:35.13770"," 23:30:38.46562",228.4791,2.0449,0.0070,0.0040,0.0120,1,RTK Fix,2022-10-05 16:33:24.0,2022-10-05 16:33:24.0,2022-10-05 14:33:24.0,2022-10-05 14:33:24.0,cond,1.0,26,9,2.3133,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
3,3,683720.7911,388230.4106,188.9561," 47:38:35.23281"," 23:30:38.76629",228.4881,2.0449,0.0070,0.0040,0.0110,1,RTK Fix,2022-10-05 16:33:40.0,2022-10-05 16:33:40.0,2022-10-05 14:33:40.0,2022-10-05 14:33:40.0,apa,1.0,27,9,2.3167,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
4,4,683716.0784,388223.4939,188.9800," 47:38:35.07600"," 23:30:38.43925",228.5121,2.0449,0.0070,0.0040,0.0110,1,RTK Fix,2022-10-05 16:35:07.0,2022-10-05 16:35:07.0,2022-10-05 14:35:07.0,2022-10-05 14:35:07.0,ce,1.0,28,9,2.3357,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
5,5,683716.6775,388223.6834,188.9140," 47:38:35.09551"," 23:30:38.44779",228.4461,2.0449,0.0070,0.0040,0.0110,1,RTK Fix,2022-10-05 16:35:22.0,2022-10-05 16:35:22.0,2022-10-05 14:35:22.0,2022-10-05 14:35:22.0,acc,1.0,28,9,2.3387,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
6,6,683722.0846,388223.0616,188.7981," 47:38:35.27017"," 23:30:38.41309",228.3301,2.0449,0.0070,0.0040,0.0110,1,RTK Fix,2022-10-05 16:35:33.0,2022-10-05 16:35:33.0,2022-10-05 14:35:33.0,2022-10-05 14:35:33.0,acc,1.0,29,9,2.3413,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
7,7,683717.4421,388229.7702,188.9900," 47:38:35.12400"," 23:30:38.73865",228.5221,2.0449,0.0070,0.0040,0.0110,1,RTK Fix,2022-10-05 16:35:43.0,2022-10-05 16:35:43.0,2022-10-05 14:35:43.0,2022-10-05 14:35:43.0,acc,1.0,29,9,2.3435,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
8,8,683717.6620,388230.6941,189.0021," 47:38:35.13169"," 23:30:38.78271",228.5341,2.0449,0.0070,0.0040,0.0110,1,RTK Fix,2022-10-05 16:35:47.0,2022-10-05 16:35:47.0,2022-10-05 14:35:47.0,2022-10-05 14:35:47.0,acc,1.0,29,9,2.3444,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
9,9,683717.9504,388232.5570,188.9941," 47:38:35.14216"," 23:30:38.87168",228.5261,2.0449,0.0070,0.0040,0.0120,1,RTK Fix,2022-10-05 16:35:51.0,2022-10-05 16:35:51.0,2022-10-05 14:35:51.0,2022-10-05 14:35:51.0,acc,2.0,29,9,2.3448,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
10,10,683718.5222,388237.6812,189.0401," 47:38:35.16382"," 23:30:39.11662",228.5721,2.0449,0.0070,0.0040,0.0110,1,RTK Fix,2022-10-05 16:35:58.0,2022-10-05 16:35:58.0,2022-10-05 14:35:58.0,2022-10-05 14:35:58.0,acc,1.0,28,9,2.3466,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
