id,Name,N,E,Z,B,L,H,AntH,σN,σE,σZ,Ave Times,Status,StartLocal time,EndLocal time,StartUTC,EndUTC,Desc,Latency,Sats,Shared Sats,PDOP,Elevation(°),VRS Name,Base B,Base L,Base H(Phase Center),Station,Tilt Angel,Tilt Azi
1,1,683681.2122,388326.4370,190.3763," 47:38:34.01048"," 23:30:43.40197",229.9091,1.4449,0.0110,0.0060,0.0240,1,RTK Fix,2022-09-01 12:53:16.0,2022-09-01 12:53:16.0,2022-09-01 10:53:16.0,2022-09-01 10:53:16.0,ax,1.0,25,5,4.9672,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
2,2,683691.2384,388315.4136,189.8125," 47:38:34.32829"," 23:30:42.86484",229.3451,1.4449,0.0120,0.0070,0.0240,1,RTK Fix,2022-09-01 12:53:46.0,2022-09-01 12:53:46.0,2022-09-01 10:53:46.0,2022-09-01 10:53:46.0,stb,1.0,27,5,4.9301,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
3,3,683673.4737,388300.4709,190.1742," 47:38:33.74404"," 23:30:42.16520",229.7071,1.4449,0.0150,0.0090,0.0320,1,RTK Fix,2022-09-01 12:54:27.0,2022-09-01 12:54:27.0,2022-09-01 10:54:27.0,2022-09-01 10:54:27.0,ax,1.0,29,5,4.8799,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
4,4,683685.7110,388285.4054,189.3214," 47:38:34.13094"," 23:30:41.43244",228.8541,1.4449,0.0160,0.0090,0.0330,1,RTK Fix,2022-09-01 12:54:53.0,2022-09-01 12:54:53.0,2022-09-01 10:54:53.0,2022-09-01 10:54:53.0,p,1.0,27,5,4.8483,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
5,5,683687.5056,388284.5634,189.3865," 47:38:34.18852"," 23:30:41.39048",228.9191,1.4449,0.0140,0.0080,0.0290,1,RTK Fix,2022-09-01 12:55:00.0,2022-09-01 12:55:00.0,2022-09-01 10:55:00.0,2022-09-01 10:55:00.0,p,1.0,26,5,4.8387,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
6,6,683685.1749,388281.8722,189.3044," 47:38:34.11142"," 23:30:41.26369",228.8371,1.4449,0.0150,0.0100,0.0380,1,RTK Fix,2022-09-01 12:55:08.0,2022-09-01 12:55:08.0,2022-09-01 10:55:08.0,2022-09-01 10:55:08.0,p,1.0,26,4,8.8201,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
7,7,683683.3288,388282.4178,189.4434," 47:38:34.05199"," 23:30:41.29149",228.9761,1.4449,0.0180,0.0100,0.0370,1,RTK Fix,2022-09-01 12:55:19.0,2022-09-01 12:55:19.0,2022-09-01 10:55:19.0,2022-09-01 10:55:19.0,p,1.0,27,5,4.8159,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
8,8,683680.3835,388278.5746,189.3773," 47:38:33.95429"," 23:30:41.11008",228.9101,1.4449,0.0160,0.0100,0.0350,1,RTK Fix,2022-09-01 12:55:38.0,2022-09-01 12:55:38.0,2022-09-01 10:55:38.0,2022-09-01 10:55:38.0,s,2.0,26,5,4.7944,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
9,9,683684.2844,388281.3662,188.3994," 47:38:34.08228"," 23:30:41.24025",227.9321,1.4449,0.0190,0.0120,0.0450,1,RTK Fix,2022-09-01 12:56:05.0,2022-09-01 12:56:05.0,2022-09-01 10:56:05.0,2022-09-01 10:56:05.0,as,2.0,28,4,8.8588,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
10,10,683683.9500,388279.4240,189.2024," 47:38:34.07027"," 23:30:41.14753",228.7351,1.4449,0.0170,0.0110,0.0400,1,RTK Fix,2022-09-01 12:56:21.0,2022-09-01 12:56:21.0,2022-09-01 10:56:21.0,2022-09-01 10:56:21.0,lp,1.0,27,4,8.8704,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
11,11,683690.4535,388283.7231,189.4005," 47:38:34.28343"," 23:30:41.34756",228.9331,1.4449,0.0180,0.0110,0.0380,1,RTK Fix,2022-09-01 12:56:37.0,2022-09-01 12:56:37.0,2022-09-01 10:56:37.0,2022-09-01 10:56:37.0,d,2.0,29,5,4.7261,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
12,12,683690.5883,388281.1194,189.3345," 47:38:34.28620"," 23:30:41.22271",228.8671,1.4449,0.0180,0.0110,0.0390,1,RTK Fix,2022-09-01 12:56:43.0,2022-09-01 12:56:43.0,2022-09-01 10:56:43.0,2022-09-01 10:56:43.0,d,1.0,27,5,4.7168,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
